2026-09-14 22:43:28 | [INFO   ] | Логгер успешно сконфигурирован
2026-09-14 22:43:28 | [INFO   ] | Приложение запущено
2026-09-14 22:43:28 | [INFO   ] | Валидация прошла успешно user123 3102f514f96b4f4e6c4a19380cf91183afac7bfafb657b86f3b673c6bb427801 3102f514f96b4f4e6c4a19380cf91183afac7bfafb657b86f3b673c6bb427801
2026-09-14 22:47:48 | [INFO   ] | Логгер успешно сконфигурирован
2026-09-14 22:47:48 | [INFO   ] | Приложение запущено
2026-09-14 22:48:41 | [INFO   ] | Логгер успешно сконфигурирован
2026-09-14 22:48:41 | [INFO   ] | Приложение запущено
2026-09-14 22:48:49 | [ERROR  ] | Логин должен быть не короче 5 символов (1 4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8 4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8)
2026-09-14 22:49:43 | [INFO   ] | Логгер успешно сконфигурирован
2026-09-14 22:49:43 | [INFO   ] | Приложение запущено
2026-09-14 22:50:02 | [ERROR  ] | Пароль должен содержать хотя бы одну заглавную русскую букву (rimoondust 6129761cb6e6f952d2ee0501c28ca0499f5a307a9dd211ce62358fcf547d7d53 6129761cb6e6f952d2ee0501c28ca0499f5a307a9dd211ce62358fcf547d7d53)
2026-09-14 22:50:24 | [INFO   ] | Логгер успешно сконфигурирован
2026-09-14 22:50:24 | [INFO   ] | Приложение запущено
2026-09-14 22:50:34 | [ERROR  ] | Пароль должен содержать хотя бы один специальный символ (user_test cab11d7062934e53eb39d78132041829369f04f7ea4791695140d8b579a30c26 cab11d7062934e53eb39d78132041829369f04f7ea4791695140d8b579a30c26)
2026-09-14 22:50:40 | [INFO   ] | Логгер успешно сконфигурирован
2026-09-14 22:50:40 | [INFO   ] | Приложение запущено
2026-09-14 22:50:49 | [INFO   ] | Валидация прошла успешно user_test f430baf783b3ac734bbe6201260a822552b69388ebf6c557950620e148bb83d7 f430baf783b3ac734bbe6201260a822552b69388ebf6c557950620e148bb83d7
